Метрика,Бейзлайн (test),Лог.регрессия (test),Улучшение
Accuracy,0.5893,0.7960,+0.2067
Precision,0.0000,0.7798,+0.7798
Recall,0.0000,0.7013,+0.7013
F1-score,0.0000,0.7385,+0.7385
ROC-AUC,0.5000,0.8645,+0.3645
